"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
99,"QUBT",26.17%,33.33%,-4.81%,87.77%,110.64%,-46.70%,12.09%,9.62%,,714.07,3.03,7.11,-5.45%,108119
100,"ONTO",10.32%,24.32%,18.19%,58.21%,126.82%,89.09%,4.42%,3.22%,1.80,236.17,0.01,85.01,-5.45%,131
101,"DUOT",19.14%,9.39%,-14.05%,-26.99%,66.06%,51.18%,9.79%,5.54%,2.00,13.79,0.15,6.06,-5.44%,100
102,"RGC",27.08%,3.91%,156.19%,,,114.95%,14.61%,11.53%,,808.43,0.03,21.35,-5.41%,1082
103,"FSTA",1.28%,4.16%,1.44%,4.39%,14.07%,8.82%,0.85%,0.78%,,77.03,0.00,41.88,-5.40%,19
104,"FORG",13.17%,6.79%,,,,-9.12%,8.44%,7.29%,,929.37,0.14,31.39,-5.37%,6341
105,"DFH",7.59%,2.34%,-25.54%,-33.45%,,-20.81%,4.54%,4.72%,3.00,251.34,0.27,15.70,-5.36%,3453
106,"CSPR",-2.86%,-10.77%,-35.80%,-61.51%,-45.78%,-39.35%,7.40%,5.84%,2.20,714.22,0.96,3.53,-5.36%,34147
107,"MMI",9.95%,13.24%,24.65%,35.88%,40.58%,33.25%,3.74%,2.44%,3.50,91.47,0.04,46.97,-5.32%,201
108,"SAVA",35.03%,53.50%,-28.04%,109.15%,671.75%,1049.71%,24.38%,14.13%,2.00,8453.63,0.29,74.25,-5.31%,123478
109,"ANIP",-14.58%,30.12%,59.16%,44.70%,92.62%,67.22%,4.90%,6.55%,2.50,164.95,0.00,46.01,-5.25%,10
110,"PLUG",-1.24%,47.27%,48.61%,83.09%,100.49%,20.08%,6.01%,6.19%,2.10,22202.43,0.39,38.59,-5.23%,428177
111,"NVCN",1.90%,14.65%,-2.65%,3.04%,-9.84%,-16.62%,4.74%,5.82%,1.00,450.22,0.64,0.75,-5.22%,14330
112,"APP",4.88%,18.49%,77.04%,98.22%,,58.85%,3.53%,3.99%,1.70,1486.85,0.05,98.18,-5.20%,3611
113,"ENFN",5.25%,,,,,13.38%,4.59%,,,1660.61,0.00,21.29,-5.20%,5
