"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
4035,"ECL",1.78%,8.85%,4.68%,6.21%,6.48%,6.74%,1.40%,1.66%,2.60,912.96,0.00,230.95,0.00%,117
4036,"XITK",1.88%,8.49%,8.60%,22.45%,30.75%,8.81%,1.40%,1.16%,,6.46,0.57,234.05,0.00%,0
4037,"SVOL",-1.03%,2.66%,1.36%,,,10.38%,1.03%,0.98%,,38.50,0.19,27.76,0.00%,0
4038,"VNQI",0.98%,3.36%,-2.63%,2.07%,12.26%,6.35%,0.55%,0.56%,,362.30,0.00,57.76,0.00%,29
4039,"INTG",0.00%,-1.43%,2.88%,22.66%,45.39%,47.03%,2.98%,3.06%,,7.66,0.08,46.49,0.00%,0
4040,"FRTA",-0.08%,0.25%,0.63%,1.97%,68.67%,38.41%,1.00%,0.64%,2.70,162.36,0.68,23.80,0.00%,0
4041,"IHD",2.91%,1.37%,-1.07%,-6.31%,6.61%,2.20%,1.21%,1.05%,,71.62,1.05,7.42,0.00%,0
4042,"CZNC",4.18%,5.52%,6.81%,11.32%,48.14%,36.79%,2.31%,2.31%,2.00,24.17,0.66,27.14,0.00%,0
4043,"ECLN",-0.85%,5.42%,0.47%,6.45%,8.53%,7.98%,0.40%,0.33%,,5.06,0.52,24.29,0.00%,0
4044,"XLSR",1.55%,6.08%,3.63%,12.75%,24.56%,17.49%,0.54%,0.51%,,20.40,1.65,47.42,0.00%,0
4045,"SVFAU",-1.72%,2.91%,2.81%,0.39%,,-14.50%,1.44%,0.98%,,167.71,0.36,10.26,0.00%,0
4046,"VNRX",-1.64%,6.53%,12.19%,13.61%,16.18%,-7.71%,4.00%,4.64%,2.00,101.73,0.83,3.59,0.00%,0
4047,"INS",8.58%,9.97%,25.32%,27.80%,26.20%,11.07%,5.81%,3.19%,1.00,30.65,1.50,44.55,0.00%,0
4048,"FRWAU",0.30%,1.17%,0.20%,,,0.00%,0.88%,0.57%,,26.39,0.00,9.98,0.00%,0
4049,"JYAC",-0.10%,0.13%,-1.11%,-0.10%,,-5.15%,0.04%,0.07%,,6.81,0.02,9.77,0.00%,0
4050,"CZOO",-9.59%,25.52%,-9.23%,-9.05%,,-23.31%,6.84%,6.26%,,924.48,0.09,9.05,0.00%,4104
4051,"ECNS",0.64%,3.87%,-5.18%,-2.82%,12.35%,5.15%,1.25%,1.44%,,17.95,0.52,51.68,0.00%,0
4052,"VBF",0.69%,-1.58%,-3.11%,4.96%,7.66%,-5.69%,0.76%,1.32%,,24.32,0.37,20.54,0.00%,0
4053,"SVFB",-0.50%,1.52%,2.15%,-6.10%,,-3.19%,0.58%,0.56%,,90.88,0.79,10.00,0.00%,0
4054,"VNTR",12.11%,9.46%,4.52%,-24.48%,67.88%,-2.11%,5.95%,5.10%,2.80,323.69,0.23,3.24,0.00%,0
4055,"INSE",1.25%,11.31%,28.37%,92.72%,204.18%,121.43%,3.80%,4.57%,2.00,237.90,3.55,14.57,0.00%,0
4056,"FSBW",0.75%,0.72%,-2.38%,2.07%,47.77%,27.01%,3.02%,2.82%,2.00,17.20,0.23,34.80,0.00%,0
4057,"KAIRU",-0.40%,0.75%,-1.28%,-4.03%,,-1.96%,0.26%,0.21%,,25.83,0.59,10.00,0.00%,0
4058,"CHUY",14.64%,8.87%,4.78%,-16.87%,40.90%,26.54%,5.90%,4.25%,2.70,97.61,1.81,33.52,0.00%,0
4059,"ECOL",6.74%,13.94%,-7.31%,-13.44%,-2.10%,-3.72%,3.99%,3.23%,2.00,178.57,0.52,34.98,0.00%,0
4060,"VBFC",3.89%,14.34%,19.16%,58.48%,48.36%,64.58%,5.18%,3.25%,,4.86,1.63,56.60,0.00%,0
4061,"SVFC",0.10%,2.03%,2.55%,-1.47%,,-1.95%,0.93%,0.98%,,209.18,0.01,10.05,0.00%,100
4062,"VO",1.71%,7.91%,6.22%,16.05%,35.32%,25.29%,0.78%,0.82%,,704.57,0.00,259.06,0.00%,65
4063,"INSW",2.76%,7.27%,11.31%,2.14%,26.38%,21.35%,4.36%,4.33%,1.90,320.35,0.07,18.60,0.00%,1081
4064,"FSD",0.22%,0.54%,0.03%,4.98%,14.10%,7.68%,0.65%,0.62%,,77.52,0.56,15.90,0.00%,0
4065,"KALL",-0.36%,-1.15%,-5.05%,-8.11%,-9.74%,-10.57%,0.41%,0.30%,,1.55,0.41,30.94,0.00%,0
4066,"CHW",2.79%,11.00%,-2.64%,5.73%,22.43%,11.92%,0.98%,1.01%,,151.62,1.53,10.70,0.00%,0
4067,"ECOM",3.56%,1.71%,9.59%,15.55%,83.45%,63.70%,4.60%,3.56%,2.00,154.94,2.89,26.16,0.00%,0
4068,"VBND",1.01%,1.43%,0.48%,2.54%,0.88%,0.03%,0.45%,0.38%,,14.13,0.65,51.94,0.00%,0
4069,"UFPT",5.79%,4.93%,3.79%,20.00%,38.73%,41.65%,4.90%,2.78%,1.00,19.14,0.62,66.01,0.00%,0
4070,"VOC",2.02%,0.20%,18.87%,39.23%,183.15%,127.03%,3.66%,3.46%,,84.12,0.39,5.04,0.00%,0
4071,"INT",3.24%,-12.00%,-17.25%,-9.84%,10.52%,-7.96%,4.45%,3.52%,2.00,424.19,1.05,28.68,0.00%,0
4072,"FSFG",-0.86%,-6.89%,5.96%,19.99%,29.71%,27.15%,2.15%,2.66%,2.00,16.62,1.31,27.55,0.00%,0
4073,"KALV",-0.33%,1.46%,-6.77%,-27.33%,-1.15%,-5.06%,3.43%,4.68%,1.60,187.50,0.62,18.03,0.00%,0
4074,"CHWA",0.20%,0.20%,,,,1.18%,0.16%,0.21%,,157.90,0.00,9.80,0.00%,0
4075,"ECON",1.07%,1.87%,0.02%,-2.07%,-5.71%,-8.32%,0.86%,0.82%,,21.00,0.41,25.84,0.00%,0
4076,"VBR",2.31%,7.18%,5.84%,9.99%,46.18%,30.32%,1.34%,1.19%,,382.71,0.01,185.33,0.00%,166
4077,"UFS",-0.80%,-1.74%,-0.93%,-1.51%,102.54%,71.37%,3.51%,1.21%,2.70,359.61,1.39,54.24,0.00%,0
4078,"VRNA",-0.39%,13.63%,-15.38%,-12.82%,-20.71%,-26.14%,4.32%,4.90%,1.20,89.65,1.08,5.17,0.00%,0
4079,"INTA",4.33%,28.59%,-10.62%,,,4.89%,4.64%,4.60%,1.60,161.29,1.00,29.37,0.00%,0
4080,"FSMB",0.22%,0.14%,-0.43%,-0.02%,1.19%,0.29%,0.13%,0.15%,,83.22,0.46,20.87,0.00%,0
4081,"KAMN",11.46%,8.53%,-7.83%,-22.23%,-15.25%,-29.16%,4.57%,3.03%,3.00,163.79,0.72,40.47,0.00%,0
4082,"CHSCL",0.11%,2.24%,0.38%,4.17%,0.69%,-1.11%,0.81%,0.91%,,27.03,0.44,29.24,0.00%,0
4083,"EBSB",4.62%,12.52%,21.55%,22.49%,85.82%,68.75%,3.42%,2.76%,2.00,238.44,0.84,25.16,0.00%,0
4084,"VBTX",1.13%,8.40%,21.78%,28.18%,93.47%,67.54%,2.64%,2.96%,1.60,245.14,0.92,42.99,0.00%,0
4085,"UG",0.14%,-1.06%,-10.51%,-5.05%,2.55%,-2.28%,2.14%,1.90%,,3.55,2.83,14.05,0.00%,0
4086,"VRNS",3.67%,13.31%,12.56%,43.15%,59.37%,18.67%,3.31%,3.58%,1.90,738.75,1.04,64.72,0.00%,0
4087,"INSI",1.83%,3.67%,-4.28%,6.39%,8.25%,2.26%,2.25%,1.80%,,18.16,1.61,21.84,0.00%,0
4088,"FSMD",2.25%,7.09%,5.57%,10.87%,40.27%,26.87%,1.13%,0.91%,,10.82,0.55,36.40,0.00%,0
4089,"KAPR",0.64%,3.63%,3.28%,6.82%,7.12%,5.56%,0.32%,0.42%,,11.40,0.23,28.36,0.00%,0
4090,"CHSCM",-0.21%,1.81%,-0.28%,2.97%,1.34%,0.43%,0.69%,0.84%,,15.75,0.70,28.05,0.00%,0
4091,"EBTC",8.84%,5.17%,13.13%,21.59%,66.90%,58.47%,2.82%,2.58%,,13.15,0.75,40.49,0.00%,0
4092,"VC",5.64%,21.64%,4.55%,8.37%,21.62%,-2.78%,3.84%,4.32%,2.70,242.87,0.00,122.03,0.00%,1
4093,"UFCS",2.53%,2.62%,-15.18%,-28.32%,4.61%,-9.64%,5.42%,4.55%,2.30,63.45,0.82,22.68,0.00%,0
4094,"VRNT",0.92%,3.55%,11.63%,5.35%,75.97%,38.07%,1.42%,1.27%,1.70,561.58,0.72,47.24,0.00%,0
4095,"INSM",1.00%,11.02%,32.80%,22.26%,-3.63%,-2.82%,3.41%,4.10%,1.80,808.15,0.82,32.35,0.00%,0
4096,"FSMO",1.96%,7.34%,6.92%,13.66%,,22.38%,1.06%,0.86%,,9.74,1.29,25.02,0.00%,0
4097,"IEV",0.80%,6.30%,0.82%,5.52%,25.25%,16.15%,0.60%,0.52%,,317.55,1.34,55.66,0.00%,0
4098,"CHSCN",0.54%,1.63%,-1.20%,2.04%,0.04%,0.76%,0.71%,0.76%,,17.92,0.54,28.01,0.00%,0
4099,"ECCC",-0.28%,-2.20%,-0.55%,,,0.28%,0.42%,0.39%,,12.79,0.42,25.32,0.00%,0
4100,"VCEB",0.84%,1.93%,0.25%,2.85%,-0.58%,-2.26%,0.36%,0.29%,,16.81,0.00,74.52,0.00%,1
4101,"UFEB",0.14%,0.80%,1.25%,2.96%,9.99%,6.98%,0.08%,0.15%,,3.06,0.27,27.88,0.00%,0
4102,"VRP",0.15%,0.35%,-0.91%,0.73%,3.20%,0.81%,0.21%,0.22%,,349.53,0.00,26.16,0.00%,1
4103,"INSP",2.04%,19.18%,49.74%,62.78%,64.30%,47.93%,5.19%,3.89%,2.00,206.22,0.51,278.24,0.00%,0
4104,"FSRXU",-0.80%,0.66%,-1.88%,-2.85%,,-11.30%,0.18%,0.22%,,8.72,0.02,9.89,0.00%,0
4105,"IEX",1.71%,13.85%,3.46%,8.09%,25.58%,18.40%,1.34%,1.85%,2.20,322.66,0.62,235.86,0.00%,0
4106,"CHSCO",-0.08%,2.96%,0.77%,2.85%,0.97%,-0.12%,0.63%,0.77%,,25.36,0.25,28.75,0.00%,0
4107,"ECF",1.86%,8.21%,-3.59%,3.04%,17.88%,2.67%,0.78%,0.99%,,38.48,0.97,14.24,0.00%,0
4108,"VCEL",-10.24%,-15.24%,-9.06%,-10.70%,74.32%,36.50%,8.10%,5.42%,1.70,332.31,2.23,42.15,0.00%,0
4109,"UFI",2.85%,7.42%,4.10%,-2.01%,61.27%,40.36%,3.50%,3.80%,1.70,72.99,0.71,24.90,0.00%,0
4110,"VRCA",0.23%,5.09%,22.16%,13.62%,65.94%,13.03%,3.68%,4.73%,1.80,125.86,0.44,13.01,0.00%,0
4111,"INOD",-25.47%,-14.98%,5.17%,37.40%,190.59%,57.36%,9.84%,5.13%,,75.21,2.14,8.34,0.00%,0
4112,"FSS",8.98%,15.84%,17.89%,13.64%,51.76%,42.66%,4.20%,2.39%,1.50,179.54,2.07,47.32,0.00%,0
4113,"IEZ",1.89%,2.10%,12.77%,1.48%,72.97%,34.34%,3.18%,2.50%,,165.27,1.15,15.10,0.00%,0
4114,"CHSCP",-0.22%,2.08%,3.04%,5.46%,5.00%,3.38%,0.53%,0.76%,,15.39,0.27,30.91,0.00%,0
4115,"ECH",8.32%,11.22%,-1.16%,-13.53%,2.24%,-9.47%,3.18%,2.41%,,438.27,3.20,27.35,0.00%,0
4116,"VCF",2.76%,1.89%,-2.09%,0.00%,6.89%,2.11%,0.95%,0.84%,,6.82,2.94,14.53,0.00%,0
4117,"UFO",0.77%,2.38%,2.28%,8.94%,34.43%,21.42%,1.41%,1.17%,,37.43,1.92,30.95,0.00%,0
4118,"VRDN",4.45%,16.93%,51.87%,8.54%,7.96%,11.25%,5.40%,5.73%,1.20,246.11,0.12,18.30,0.00%,0
4119,"INOV",0.44%,0.54%,9.27%,39.23%,103.28%,125.21%,0.39%,0.33%,2.60,1105.45,0.36,40.92,0.00%,0
4120,"FSSI",0.10%,-0.10%,0.93%,-1.41%,,0.93%,0.14%,0.26%,,70.25,0.26,9.76,0.00%,0
4121,"IESC",4.28%,13.88%,0.93%,8.14%,49.22%,13.73%,2.52%,2.42%,,53.29,0.31,52.36,0.00%,0
4122,"CHT",0.84%,0.53%,-6.52%,-0.30%,3.03%,3.13%,0.55%,0.68%,,120.29,0.78,39.83,0.00%,0
4123,"ECPG",10.70%,16.32%,22.88%,44.52%,87.85%,51.68%,3.18%,2.77%,2.20,225.28,1.10,59.08,0.00%,0
4124,"UYM",7.66%,22.02%,6.67%,7.04%,63.59%,49.99%,2.10%,2.14%,,9.89,2.63,109.04,0.00%,0
4125,"UDR",0.04%,4.41%,3.60%,23.15%,44.74%,43.69%,1.73%,1.85%,2.50,1748.34,0.00,55.22,0.00%,1
4126,"VREX",4.40%,6.93%,1.58%,22.45%,87.46%,69.36%,3.90%,3.22%,1.70,292.09,0.95,28.25,0.00%,0
4127,"INMU",0.47%,0.10%,-0.70%,1.73%,,2.05%,0.04%,0.05%,,0.91,11.11,25.60,0.00%,0
4128,"FSSIU",0.40%,0.20%,-1.94%,0.00%,,-1.85%,0.46%,0.59%,,5.55,0.09,10.10,0.00%,0
4129,"IETC",2.79%,9.53%,8.35%,27.25%,38.79%,29.85%,0.89%,0.89%,,14.56,1.12,61.72,0.00%,0
4130,"CHAA",-0.20%,0.00%,0.52%,,,-0.51%,0.29%,0.21%,,87.54,0.32,9.75,0.00%,0
4131,"ECVT",11.50%,15.60%,-0.53%,7.44%,47.21%,14.15%,3.44%,2.57%,2.20,286.28,1.32,13.19,0.00%,0
4132,"WYY",-0.37%,2.50%,-19.58%,-28.89%,-21.24%,-47.18%,5.57%,4.48%,2.00,60.83,0.68,5.34,0.00%,0
4133,"UE",0.05%,1.15%,-3.45%,1.37%,57.54%,42.66%,4.03%,2.84%,2.70,639.35,0.65,18.46,0.00%,0
4134,"VRIG",0.04%,-0.08%,-0.02%,0.00%,0.74%,0.42%,0.07%,0.07%,,81.52,1.67,25.09,0.00%,0
4135,"INN",0.49%,2.80%,12.86%,10.79%,28.05%,13.98%,4.51%,3.16%,1.70,896.20,0.56,10.27,0.00%,0
4136,"FST",-2.04%,0.56%,4.70%,3.40%,28.66%,21.87%,2.24%,2.68%,,53.07,0.66,12.48,0.00%,0
4137,"GURU",0.85%,4.78%,3.62%,11.25%,24.60%,16.09%,0.72%,0.78%,,2.49,1.70,50.86,0.00%,0
4138,"CHAD",-0.20%,-0.02%,-0.20%,-3.50%,-10.60%,-4.44%,0.47%,0.51%,,16.70,0.11,16.90,0.00%,0
4139,"EEA",0.87%,4.50%,-0.59%,1.04%,29.40%,11.73%,0.73%,0.98%,,4.89,1.03,11.62,0.00%,0
4140,"VCIT",0.61%,0.88%,-0.77%,1.15%,-1.26%,-2.80%,0.34%,0.29%,,2935.75,0.00,94.42,0.00%,362
4141,"SWET",-0.41%,-0.10%,0.93%,-0.21%,,-0.21%,0.12%,0.25%,,17.53,0.00,9.73,0.00%,0
4142,"VRA",8.02%,13.59%,-10.91%,4.15%,45.87%,35.43%,4.20%,3.34%,2.80,268.77,0.00,10.78,0.00%,2
4143,"INNV",9.80%,11.71%,-55.93%,-69.30%,,-70.83%,4.48%,4.73%,1.50,498.50,0.02,7.06,0.00%,563
4144,"MEOA",-0.10%,,,,,0.20%,0.10%,,,233.19,0.00,9.94,0.00%,0
4145,"IEO",2.85%,4.08%,28.22%,25.73%,125.74%,84.78%,2.31%,2.16%,,184.80,0.01,66.30,0.00%,111
4146,"CHE",3.67%,22.50%,9.11%,3.10%,4.40%,-6.27%,2.49%,2.76%,1.50,95.32,0.67,499.24,0.00%,0
4147,"EEFT",3.00%,-6.57%,-10.94%,-14.53%,-1.70%,-19.00%,3.87%,3.73%,1.70,364.22,0.73,117.39,0.00%,0
4148,"VCKAU",-0.46%,1.07%,1.96%,2.36%,,1.86%,0.19%,0.32%,,6.88,0.59,10.40,0.00%,0
4149,"UEIC",-10.88%,-20.40%,-22.46%,-18.92%,-12.92%,-28.02%,6.36%,3.56%,1.50,65.30,0.01,37.76,0.00%,45
4150,"VRAI",1.17%,4.09%,3.47%,5.12%,31.71%,19.59%,1.49%,1.19%,,10.82,1.18,27.29,0.00%,0
4151,"INGN",-5.16%,-12.16%,-41.83%,-42.39%,13.25%,-18.53%,5.88%,3.57%,2.80,190.91,0.00,36.40,0.00%,2
4152,"MERC",6.81%,-1.91%,-2.92%,-25.58%,61.75%,10.15%,4.09%,5.27%,2.40,315.31,0.01,11.29,0.00%,100
4153,"GTXAP",1.37%,-0.61%,-0.98%,,,-12.69%,1.78%,2.10%,,40.99,0.62,8.12,0.00%,0
4154,"CHEF",2.20%,7.70%,16.68%,21.02%,78.56%,39.39%,5.57%,4.86%,2.00,278.84,1.05,35.81,0.00%,0
4155,"EEIQ",2.20%,-1.18%,12.03%,-17.52%,,4.75%,6.75%,6.86%,,1230.31,0.00,4.19,0.00%,1
4156,"WY",3.87%,0.78%,7.79%,1.23%,35.33%,13.58%,3.15%,2.70%,1.90,3626.10,0.00,37.55,0.00%,72
4157,"UEPS",-8.48%,22.74%,34.02%,28.13%,91.78%,18.50%,7.64%,5.47%,2.00,169.42,0.25,5.83,0.00%,0
4158,"CSTM",1.83%,2.85%,-2.30%,16.98%,77.11%,39.39%,3.20%,4.13%,2.00,974.49,0.59,19.50,0.00%,0
4159,"INGR",7.84%,4.33%,13.76%,5.01%,36.62%,26.81%,1.80%,1.82%,3.00,376.84,0.00,99.76,0.00%,11
4160,"MESA",15.30%,13.25%,4.34%,-9.10%,135.19%,32.88%,6.19%,4.17%,2.20,451.34,0.03,8.89,0.00%,732
4161,"GTY",0.03%,7.42%,3.25%,9.21%,19.32%,18.85%,1.85%,1.87%,2.20,143.84,0.90,32.73,0.00%,0
4162,"CHMG",1.54%,2.96%,1.64%,9.47%,34.44%,40.27%,2.71%,1.96%,2.30,6.01,0.47,47.62,0.00%,0
4163,"EELV",1.08%,1.95%,2.85%,6.81%,21.15%,13.22%,0.50%,0.50%,,49.11,0.18,25.26,0.00%,0
4164,"XBIT",1.57%,18.24%,-3.83%,6.10%,-1.96%,15.39%,4.52%,3.99%,2.00,59.21,0.66,15.56,0.00%,0
4165,"UEVM",1.25%,1.23%,-1.62%,-2.01%,14.33%,6.45%,0.50%,0.32%,,2.91,1.20,48.40,0.00%,0
4166,"CSTR",1.46%,3.05%,5.39%,15.31%,94.76%,51.19%,2.25%,2.09%,2.00,55.69,0.84,22.30,0.00%,0
4167,"INKAU",0.55%,0.48%,0.60%,-3.15%,,-2.69%,0.14%,0.23%,,12.51,0.01,10.14,0.00%,0
4168,"MESO",4.15%,13.18%,-16.06%,-6.21%,-44.32%,-26.15%,2.99%,2.59%,2.50,136.18,0.01,6.27,0.00%,57
4169,"GTYH",10.73%,6.32%,6.17%,53.88%,164.16%,49.42%,4.99%,4.04%,2.00,68.24,0.01,7.74,0.00%,20
4170,"CHIR",-3.07%,-9.39%,-15.12%,-29.31%,-36.28%,-28.73%,2.53%,2.23%,,8.95,5.48,11.25,0.00%,0
4171,"FFWM",6.75%,7.58%,14.97%,18.08%,77.45%,44.00%,3.10%,2.61%,1.80,135.81,0.79,28.80,0.00%,0
4172,"XBJL",0.49%,2.32%,3.07%,,,3.65%,0.11%,0.23%,,3.12,0.48,26.70,0.00%,0
4173,"UITB",0.41%,0.82%,-0.54%,1.09%,-1.02%,-1.74%,0.30%,0.20%,,81.96,0.09,53.57,0.00%,0
4174,"CSU",16.35%,7.30%,32.84%,-28.64%,259.63%,170.42%,8.75%,6.89%,4.00,24.89,0.66,33.37,0.00%,0
4175,"INKM",0.91%,2.73%,1.06%,2.96%,10.96%,6.64%,0.29%,0.20%,,14.84,0.39,36.12,0.00%,0
4176,"MEXX",12.23%,12.02%,1.62%,24.40%,106.05%,42.82%,3.16%,2.53%,,3.69,0.22,91.01,0.00%,0
4177,"GUNR",1.92%,1.79%,2.40%,-0.51%,33.61%,20.47%,1.06%,0.97%,,1214.26,0.00,39.20,0.00%,4
4178,"CHIS",-0.53%,1.25%,0.60%,-9.49%,-5.12%,-16.59%,0.54%,0.58%,,2.40,1.42,28.71,0.00%,0
4179,"FGB",1.44%,3.67%,-0.24%,5.21%,54.18%,35.90%,1.61%,1.18%,,44.11,1.24,4.24,0.00%,0
4180,"XBUY",1.17%,0.52%,-8.11%,-8.28%,-1.38%,-13.16%,0.64%,0.48%,,2.05,0.33,44.56,0.00%,0
4181,"UIVM",0.36%,3.32%,-0.73%,2.90%,17.83%,9.83%,0.29%,0.27%,,3.00,0.52,50.05,0.00%,0
4182,"CASH",10.75%,11.19%,26.32%,32.66%,94.17%,75.00%,4.08%,3.46%,1.70,222.01,1.28,63.98,0.00%,0
4183,"INM",-7.28%,-6.04%,-44.22%,-58.58%,-74.03%,-57.45%,5.13%,9.41%,,506.59,0.23,1.40,0.00%,5835
4184,"MF",0.74%,1.50%,-16.77%,,,-57.87%,6.36%,5.62%,2.00,345.75,0.01,4.07,0.00%,136
4185,"IGD",0.33%,2.04%,-1.64%,4.52%,20.93%,15.13%,0.77%,0.86%,,253.17,0.97,6.01,0.00%,0
4186,"CHIX",-0.98%,-2.48%,-4.27%,-9.48%,-9.59%,-8.24%,0.49%,0.54%,,42.38,0.50,14.14,0.00%,0
4187,"FFTG",1.01%,5.94%,2.18%,3.83%,10.54%,8.01%,0.42%,0.52%,,6.10,0.65,30.92,0.00%,0
4188,"XCEM",1.77%,1.74%,-1.11%,5.08%,23.52%,9.33%,0.83%,0.88%,,12.90,0.19,32.82,0.00%,0
4189,"UJAN",0.09%,0.85%,0.99%,3.42%,7.62%,5.43%,0.29%,0.22%,,16.91,0.32,31.48,0.00%,0
4190,"CSTE",4.57%,12.31%,-4.86%,-11.76%,13.26%,4.73%,4.82%,3.28%,2.50,82.46,3.15,13.50,0.00%,0
4191,"INMB",-20.17%,-13.23%,-2.89%,53.88%,100.00%,-10.10%,11.33%,7.18%,1.70,391.50,0.03,15.48,0.00%,575
4192,"MFD",0.10%,2.20%,-2.40%,-0.51%,26.62%,16.49%,0.78%,0.85%,,24.83,1.09,9.75,0.00%,0
4193,"IGE",2.08%,5.45%,13.09%,8.47%,54.29%,41.31%,1.35%,1.28%,,314.47,0.03,32.91,0.00%,498
4194,"CHN",-0.61%,0.12%,-8.76%,-8.89%,-9.97%,-9.17%,1.34%,1.39%,,16.70,1.06,25.94,0.00%,0
4195,"FFTI",0.58%,1.17%,0.06%,1.15%,0.42%,-0.78%,0.18%,0.15%,,22.67,1.39,24.16,0.00%,0
4196,"XDIV",1.98%,7.81%,5.86%,14.20%,44.79%,25.56%,0.72%,0.96%,,3.02,0.78,105.64,0.00%,0
4197,"UJB",1.54%,2.58%,2.39%,5.29%,8.70%,6.38%,0.34%,0.37%,,20.24,0.02,78.84,0.00%,0
4198,"CARS",1.19%,12.76%,-0.51%,4.77%,53.79%,20.44%,5.04%,3.71%,2.10,433.91,1.09,13.61,0.00%,0
4199,"HLIT",1.43%,23.12%,7.68%,55.70%,64.86%,44.11%,3.90%,3.54%,2.20,742.46,0.02,10.65,0.00%,867
4200,"MFDX",0.77%,3.73%,0.08%,4.23%,19.32%,11.11%,0.31%,0.31%,,4.44,0.09,30.32,0.00%,0
4201,"IGEB",0.98%,1.91%,0.27%,2.60%,-0.10%,-1.98%,0.27%,0.28%,,14.58,0.69,54.22,0.00%,0
4202,"CHNA",-4.19%,-8.17%,-24.74%,-21.09%,7.28%,-1.14%,2.46%,1.63%,,3.00,25.04,32.19,0.00%,0
4203,"FGM",0.20%,3.81%,-1.29%,-0.15%,26.06%,10.38%,0.70%,0.62%,,3.83,0.16,56.60,0.00%,0
4204,"XDQQ",0.34%,5.77%,4.34%,18.08%,,15.94%,0.40%,0.26%,,8.44,0.51,30.05,0.00%,0
4205,"UJUL",0.24%,1.63%,1.32%,2.56%,5.38%,3.99%,0.29%,0.26%,,8.74,0.91,27.51,0.00%,0
4206,"CAS",-0.30%,0.00%,0.71%,-0.30%,,-1.87%,0.08%,0.23%,,33.13,0.01,9.96,0.00%,0
4207,"HLMN",-2.29%,1.37%,-16.31%,5.02%,,5.73%,4.48%,3.58%,1.30,1636.97,0.26,11.08,0.00%,0
4208,"MFEM",1.40%,1.86%,-2.00%,0.94%,21.87%,8.75%,0.61%,0.50%,,53.95,0.14,29.49,0.00%,0
4209,"IGF",0.33%,4.15%,4.06%,3.93%,13.78%,10.16%,0.76%,0.69%,,256.30,0.00,48.15,0.00%,1
4210,"CHNG",-0.60%,3.73%,-0.70%,-4.34%,29.01%,14.69%,1.16%,1.34%,2.70,1550.39,1.82,21.39,0.00%,0
4211,"FGRO",1.13%,8.30%,5.45%,22.56%,,9.68%,0.96%,1.03%,,34.45,1.14,22.44,0.00%,0
4212,"XDSQ",0.47%,3.71%,2.38%,7.79%,,11.10%,0.14%,0.09%,,5.05,0.14,28.49,0.00%,0
4213,"UJUN",0.33%,1.76%,1.72%,3.25%,7.77%,4.74%,0.17%,0.16%,,9.46,0.11,29.30,0.00%,0
4214,"CASS",5.19%,7.29%,4.24%,0.11%,6.01%,15.68%,3.00%,2.31%,,40.65,1.07,45.01,0.00%,0
4215,"HLNE",-0.42%,22.89%,20.26%,27.11%,53.45%,40.33%,3.01%,2.96%,2.80,180.85,1.41,109.53,0.00%,0
4216,"MFG",0.75%,-3.91%,-8.78%,-9.09%,-0.37%,5.88%,1.87%,1.76%,3.00,384.52,1.90,2.70,0.00%,0
4217,"IGHG",-0.28%,-0.36%,-0.04%,-1.09%,1.16%,-0.37%,0.67%,0.46%,,66.03,0.00,75.28,0.00%,1
4218,"CHNR",-2.95%,-0.63%,-11.21%,-7.94%,7.01%,-9.28%,6.26%,6.30%,,68.33,0.75,1.25,0.00%,0
4219,"FHB",0.99%,-0.28%,-0.11%,5.52%,32.07%,20.87%,2.49%,2.26%,2.70,508.86,0.62,28.50,0.00%,0
4220,"XEL",-1.72%,1.86%,-7.92%,-9.36%,-13.39%,-4.60%,2.11%,1.79%,2.90,3300.85,0.00,63.60,0.00%,286
4221,"UHAL",-0.43%,7.94%,13.02%,26.00%,93.05%,64.56%,2.30%,2.16%,2.00,34.17,0.93,745.26,0.00%,0
4222,"CASY",4.98%,8.97%,2.34%,-7.13%,6.08%,13.05%,1.94%,1.81%,2.50,164.37,0.00,201.93,0.00%,1
4223,"HLXA",0.43%,0.91%,-3.66%,-5.66%,,-12.05%,0.81%,0.70%,,79.15,4.38,10.00,0.00%,0
4224,"KYMR",0.66%,24.24%,15.61%,36.47%,46.34%,5.74%,4.13%,5.06%,2.10,322.44,0.79,65.56,0.00%,0
4225,"IGI",1.15%,1.34%,0.46%,2.47%,4.97%,-1.74%,0.83%,1.25%,3.00,21.36,0.93,21.97,0.00%,0
4226,"CHPM",0.00%,0.20%,0.70%,1.01%,-0.10%,-2.14%,0.07%,0.10%,,71.12,0.86,10.04,0.00%,0
4227,"FHI",0.52%,5.57%,1.56%,6.67%,31.96%,19.49%,2.50%,2.51%,3.00,446.81,1.46,34.52,0.00%,0
4228,"XMHQ",2.38%,8.58%,5.78%,8.65%,35.79%,24.12%,1.12%,1.06%,,15.06,0.44,83.18,0.00%,0
4229,"UGE",-4.26%,20.22%,16.04%,32.13%,75.86%,34.17%,1.64%,1.46%,,1.43,2.24,111.09,0.00%,0
4230,"CSR",2.04%,4.33%,7.34%,46.75%,45.34%,42.77%,3.42%,3.00%,1.80,92.68,0.78,100.85,0.00%,0
4231,"HMCOU",0.77%,1.70%,3.44%,0.19%,,-5.17%,0.35%,0.38%,,6.99,0.68,10.45,0.00%,0
